site_location	stars	conrtibutor_name	how_long_ago	review_title	review	can_be_recommended	value_for_money	product_quality	appearance	ease_of_assembly-installation	works_as_expected	helpful_yes	helpful_no
us	5	CBRTREE	5 months ago	Sturdy	Purchased for extra storage in my teen daughter's room. It's heavier and sturdier than I would have thought for the price. Easy to put together and shelves are deep enough to store wider books, text books, etc.	Yes		5	5	5	4	5	2	0
us	4	Pia Carina	5 months ago	Nice bookcase	I like the fact that I can add one after the other so it looks like a long nice furniture. I only wish you would make it more sturdy, being for books. Already twice I had to return one of these because the sides bend, the hooks are tiny, and the shelves fall down with the weight of the books. I must be careful not to fill it up with books, but mix up with lighter decorations.	Yes	4	3	5	5	4	3	0
us	5	TheBookMage	6 months ago	Billy’s fit my decor	Billy bookcases need no review. The new prices are excellent.	Yes	5	4	5	4	5	1	0
us	5	Estie7	6 months ago	Very sturdy!	My daughter put it together for our classroom & it looks fantastic!	Yes	5	5	5	5	5	4	0
us	5	green thumb blues	Perfect shelves	I bought thsese for a houseguest visiting who needed shelf space for her clothes- these were perfect for temporary solution. Now they are perfect for my favorite books!	Yes	5	4	5	5	5	0	0
us	5	Lash	6 months ago	Great product	I like the amount of storage these units provide	Yes	5	5	5	5	5	0	0
us	5	AnissaW	6 months ago	Nice and sturdy	This is a great basic bookcase. It's very sturdy, easy to put together, and it was nice to be able to buy extra shelves for it so that it fits exactly what we want.	Yes	4	5	4	5	5	1	0
us	4	Sce2018	6 months ago	Fits well	I needed a small bookcase for my small room and it’s just the right size for the space	Yes	4	4	4	3	4	0	0
us	4	Cactusgirl	6 months ago	Pretty and easy to assemble.	It is the perfect size for my office.	Yes	5	5	5	5	5	0	0
us	5	Phil4537	7 months ago	My sixth	We bought these smaller ones to replace a tall one. Unless they get broken somehow a Billy never loses value around the house from bedrooms and office to garage. If you have kids or grandkids and need vertical storage Billy is the deal. Dressedup or dressed down, they are problem solvers.	Yes	5	4	4	5	5	0	0
us	5	Kmcclary01	7 months ago	Great for a kids room	I bought this a month ago and I am so happy I did!! I got this so my son could have a book case in his room. He loves it and uses it by his bedside to store his books and favorite toys he doesn’t want in his toy box.	Yes	5	5	5	5	5	0	0
us	5	MLyford	7 months ago	Billy Bookcase	I have bought several in the past years and they remain sturdy and functional.	Yes	5	5	5	4	5	0	0
us	3	cmbooks	7 months ago	An inexpensive bookcase	We needed a couple of bookshelves to replace our old one. The Billy was inexpensive. Took several tries to assemble because the measurements for the holes were off. Kept collapsing. Had to add nails for addition support. Would recommend because of the low price but would warn about the shoddy construction.	Yes	3	2	3	2	2	1	0
us	5	Sweetgal 34	7 months ago	Great buy!!	Great buy nice and simple book shelf.	Yes	5	5	5	5	5	0	0
us	5	Pattij	8 months ago	Perfect size	This bookcase is s great size. Went together easily and holds all the grandkids books with room for their stuffed animals	Yes	5	5	5	4	5	0	0
us	5	Jackie6688	8 months ago	It also works for shoes organization.	It’s easy to assemble and nice quality.	Yes	5	5	5	5	5	0	0
us	5	Addy06	8 months ago	I love the entire BILLY line!	Our library is made up entirely of Billy bookcases, though this is my first time purchasing one of the smaller, wider shelves (we have the taller, narrower ones). This was a great buy. Sturdy and does what it needs to do: holds our ever-growing collection of books. I will most likely be back for more before too long!	Yes	5	5	5	4	5	0	0
us	4	CY70	8 months ago	EZ setup	These book shelves fit the bill and the spaces perfectly.	Yes	4	4	4	4	5	1	0
us	5	Harley7734	8 months ago	Great addition	Used this in conjunction with other Billy bookcases and made a nice, full wall unit	Yes	5	5	5	5	5	0	0
us	5	Drirdre	8 months ago	I love this book case and want one more to go in my living room	Yes	5	4	5	4	5	0	0
us	5	Retired18	9 months ago	Makes my library look so nice.	Yes	4	4	5	5	5	0	0
us	5	Anonymous	9 months ago	None	I'm happy with the bookcase. So happy that we bought a second one a week later to go in a different room, too. :)	Yes	5	5	5	5	5	0	0
us	5	BevY	9 months ago	Well made	We bought this fo our granddaughter’s closet and was very pleased with the quality of the bookcase. It was easy to put together and the price was great.	Yes	5	5	5	5	5	0	0
us	5	Ben1979	9 months ago	very good	Looks nice and neat and very safe for kids . My son like it	Yes	5	5	5	5	5	0	0
us	4	Razzleberry	9 months ago	Haven't assembled yet	I bought 3 larger bookcases when I bought this one and found that the 3 large ones might be all I need.	None	None	None	None	None	None	0	0
us	1	Wanderlust	9 months ago	Very rough boards used for this unit	It's too bad because I generally like the bookcase. It was easy to put together. However, the boards have a very rough texture. If you use a dustcloth on them, they will snag to the board. I would take them back but the waits at IKEA are horrible and the availability of merchandise unpredictable.	No	2	1	1	2	1	3	0
us	5	jlmcsc	10 months ago	Good quailty, easy assembly	Very easy to assemble, looks great!	Yes	5	5	5	5	5	0	0
us	5	Allison7438	10 months ago	Odd Spacing	This is a kind of odd height ? with only 2 shelves, it has a lot of space in between them. However, I bought an extra shelf and though it was tight, I was able to get 4 workable sizes out of it. The top one is about a quarter of an inch from the top of very short paperbacks, but it did work.	Yes	5	4	4	None	None	4	0
us	3	Corntiques	10 months ago	Sturdy, Affordable, Attractive	Purchased 3 bookcases, will purchase several. Great idea - you can purchase additional shelves for only $10 each. Reasonable shipping cost. Just the right size.Great value!	Yes	5	5	5	4	5	0	0
us	5	SargentP	10 months ago	Very easy and really great!	Putting it together was very simple, took me an hour to put together. I ordered it online on Feb 22 2018 and it came on the 28th, so the shipping was pretty fast. It did not come damage, nothing was missing. It was a little taller then what I expected but now having it for a couple hours I like the height of it. The quality is really good so it might last for a few years. The price was really nice and I really recommend buying this bookcase!	Yes	5	5	5	5	5	1	0
us	5	Memes113 	11 months ago	Smaller space	We bought one for our library to go under the light switches ! Works great . One the rest of the house is finished we need a few more	Yes	5	5	5	5	5	1	0
us	5	paige1967	11 months ago	DVD Shelf	Bought this specifically to store DVD's in the great room. Bought 1 extra shelf and its perfect and looks great. I assembled it myself and was very easy.	Yes	5	5	5	5	5	1	0
us	5	Rochell	11 months ago	Love it!	I bought this a month ago and I am so glad I did! I would buy another one here pretty soon. So easy to put together and holds a lot of books and of course very sturdy!	Yes	5	5	5	5	5	0	0
us	3	Car 253	11 months ago	Easy to assemble.	The product was more cheaply made then previous Ikea products we have purchased in the past.	None	3	3	None	4	4	0	0
us	5	PamCat	11 months ago	Easy to build, and pretty too	In December I was hunting for a not-too-deep bookshelf. It had to fit in my tiny closet to hold sweaters and jeans. The Billy bookcase fit perfect! It expanded my closet into a tiny walk-in. In fact, I like it so much I'm going to improve another closet soon!	Yes	5	5	5	5	5	0	0
us	5	PamKinBG	11 months ago	Perfect size!	My quilting studio has dormered ceilings and these shelves fit wonderfully along the low walls! The white shelves are perfect for storing and displaying my colorful fabric collection.	Yes	5	5	5	5	5	0	0
us	5	alibooks929	11 months ago	Great sturdy bookcase!	This bookcase is great for the price, easy to assemble and very sturdy. It also has great height.	Yes	5	5	5	5	5	0	0
us	2	NG708	11 months ago	None	I love this book case for size and quality	Yes	5	5	5	5	5	0	1
us	5	KenM808	11 months ago	Looking Good	Had 2 already but needed a 3rd. Got it and easy to set up. Now all our books are in bookcases.	Yes	5	5	5	5	5	0	0
us	5	nanergoat	11 months ago	great bookcase at an outstanding price	I bought this for work and it is perfect. . sturdy construction at a fantastic price!!	Yes	5	5	5	5	5	1	0
